;;;;;;;;;;;;;
;;;;;;;;;;;;;
County;City;Population;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Merced;Atwater             ;22 282;;;;;;;;;;;
Merced;Dos Palos           ;4 196;;;;;;;;;;;
Merced;Gustine             ;3 931;;;;;;;;;;;
Merced;Livingston          ;7 317;;;;;;;;;;;
Merced;Los Banos           ;14 519;;;;;;;;;;;
Merced;Merced              ;56 155;;;;;;;;;;;
Merced;Balance Of County    ;70 003;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Modoc;Alturas             ;3 231;;;;;;;;;;;
Modoc;Balance Of County    ;6 447;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Mono;Mammoth Lakes       ;4 785;;;;;;;;;;;
Mono;Balance Of County    ;5 171;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Monterey;Carmel-By-The-Sea   ;4 241;;;;;;;;;;;
Monterey;Del Rey Oaks        ;1 661;;;;;;;;;;;
Monterey;Gonzales            ;4 660;;;;;;;;;;;
Monterey;Greenfield          ;7 464;;;;;;;;;;;
Monterey;King City           ;7 634;;;;;;;;;;;
Monterey;Marina              ;26 512;;;;;;;;;;;
Monterey;Monterey            ;31 954;;;;;;;;;;;
Monterey;Pacific Grove       ;16 117;;;;;;;;;;;
Monterey;Salinas             ;108 777;;;;;;;;;;;
Monterey;Sand City           ;192;;;;;;;;;;;
Monterey;Seaside             ;38 826;;;;;;;;;;;
Monterey;Soledad             ;7 161;;;;;;;;;;;
Monterey;Balance Of County    ;100 461;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Napa;American Canyon     ;*;;;;;;;;;;;
Napa;Calistoga           ;4 468;;;;;;;;;;;
Napa;Napa                ;61 865;;;;;;;;;;;
Napa;St Helena           ;4 990;;;;;;;;;;;
Napa;Yountville          ;3 259;;;;;;;;;;;
Napa;Balance Of County    ;36 183;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Nevada;Grass Valley        ;9 048;;;;;;;;;;;
Nevada;Nevada City         ;2 855;;;;;;;;;;;
Nevada;Truckee             ;*;;;;;;;;;;;
Nevada;Balance Of County    ;66 607;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Orange;Anaheim             ;266 406;;;;;;;;;;;
Orange;Brea                ;32 873;;;;;;;;;;;
Orange;Buena Park          ;68 784;;;;;;;;;;;
Orange;Costa Mesa          ;96 357;;;;;;;;;;;
Orange;Cypress             ;42 655;;;;;;;;;;;
Orange;Dana Point          ;31 896;;;;;;;;;;;
Orange;Fountain Valley     ;53 691;;;;;;;;;;;
Orange;Fullerton           ;114 144;;;;;;;;;;;
Orange;Garden Grove        ;142 965;;;;;;;;;;;
Orange;Huntington Beach    ;181 519;;;;;;;;;;;
Orange;Irvine              ;110 330;;;;;;;;;;;
Orange;Laguna Beach        ;23 170;;;;;;;;;;;
Orange;Laguna Hills        ;*;;;;;;;;;;;
Orange;Laguna Niguel       ;44 723;;;;;;;;;;;
Orange;Laguna Woods;*;;;;;;;;;;;
